32	54
21	28
4	36
8	63
7	25
63	76
29	44
33	41
16	47
73	82
1	64
2	78
41	57
12	59
15	30
41	74
49	58
13	20
0	55
20	58
25	49
53	62
57	59
21	37
8	38
7	22
48	77
29	37
16	38
36	41
2	73
61	63
26	67
12	50
17	57
37	54
20	82
42	67
49	51
3	11
45	71
32	68
1	33
57	60
21	46
4	42
7	15
48	68
11	72
33	59
16	29
72	74
1	82
2	64
41	43
5	53
79	82
26	74
9	50
12	41
17	50
37	63
76	78
24	28
10	19
49	52
0	5
8	69
13	65
38	40
33	67
57	69
21	55
26	34
11	65
12	81
33	60
16	20
17	64
41	44
5	62
9	59
12	32
51	71
17	43
37	56
42	53
5	79
10	26
13	63
52	79
0	28
8	76
32	82
14	38
57	78
58	68
21	48
4	24
26	45
11	70
12	72
33	53
73	78
54	56
37	80
2	82
5	39
61	74
9	60
30	49
51	76
34	44
17	44
42	60
5	72
29	54
67	76
30	64
31	82
55	72
50	63
23	32
14	41
29	71
1	52
58	79
21	57
4	7
13	47
26	52
12	71
2	45
58	62
5	32
61	67
9	37
30	56
34	39
17	37
37	42
6	65
10	12
30	75
13	49
18	60
55	65
38	59
50	54
14	48
18	79
1	13
21	66
4	14
26	63
46	58
19	20
2	36
9	46
30	35
34	62
17	30
42	46
6	56
10	55
49	80
31	64
18	55
25	31
11	60
11	28
1	6
58	81
21	75
43	82
46	61
19	29
2	63
22	58
5	18
27	45
30	42
34	57
17	23
0	73
23	25
6	51
49	73
31	73
18	46
38	53
64	69
65	73
11	21
18	65
22	66
46	68
51	59
15	33
19	34
2	54
5	27
62	68
30	45
34	48
0	64
55	63
10	57
49	66
50	80
31	54
35	51
18	41
40	70
43	51
65	66
1	16
22	69
43	64
44	82
46	79
47	71
15	46
2	49
22	52
9	65
10	81
47	52
34	75
3	50
24	77
23	47
50	75
31	63
35	56
40	77
3	67
8	22
28	73
39	60
44	73
47	76
68	71
15	55
2	8
24	37
5	13
27	48
47	61
34	66
35	80
3	59
23	36
6	36
50	66
13	78
18	27
74	76
40	52
3	72
11	52
8	29
7	63
28	64
11	59
39	53
13	40
44	64
7	76
12	25
56	67
2	3
10	67
47	58
52	55
20	24
3	32
59	79
23	61
6	31
31	45
35	38
75	79
38	81
4	65
7	52
11	49
53	65
15	22
39	50
44	63
7	69
48	58
47	82
12	16
16	83
2	26
24	51
52	62
56	57
20	39
3	41
60	78
23	58
28	39
13	64
35	47
38	72
4	72
60	61
8	11
7	45
63	80
29	64
16	59
24	27
54	72
7	66
48	49
12	15
16	74
56	81
2	21
24	58
35	71
0	35
20	46
3	46
60	69
23	51
32	57
38	67
4	55
8	50
7	42
16	50
54	67
44	45
7	65
23	71
16	65
19	76
13	82
27	28
35	76
20	53
59	82
23	72
28	53
27	72
14	64
39	72
4	62
48	80
29	82
29	73
16	41
41	55
12	61
15	16
20	77
41	64
66	72
13	26
21	29
0	49
20	60
3	28
23	65
8	81
39	65
4	37
8	32
7	24
33	40
16	32
73	81
1	71
2	79
41	56
12	52
17	71
41	73
5	83
45	60
66	67
49	57
20	59
3	5
25	48
14	82
53	61
57	58
21	36
4	44
8	39
48	78
11	82
16	39
11	55
2	70
13	33
61	62
26	64
78	81
12	51
17	56
37	53
76	80
42	64
49	50
0	15
3	10
25	57
32	69
33	73
57	67
21	45
8	46
7	14
48	69
29	61
33	58
16	30
72	75
36	81
2	65
17	65
5	52
26	75
9	49
51	65
17	49
37	62
76	79
24	29
5	69
45	46
10	16
8	70
33	66
70	73
21	54
4	18
26	35
11	64
12	82
33	51
5	61
26	82
27	64
12	33
51	70
17	42
37	39
77	80
42	50
5	78
29	55
10	27
36	50
8	77
23	33
14	39
71	82
1	50
57	77
58	69
21	63
4	25
12	73
33	52
54	57
2	83
42	74
5	38
61	73
30	54
51	79
34	45
17	35
42	61
31	33
40	82
30	65
13	55
0	20
55	75
27	65
50	60
14	46
58	76
21	56
80	81
26	53
46	48
12	64
2	42
58	63
22	41
5	47
61	66
62	80
9	36
30	57
34	36
17	36
37	41
10	13
30	72
13	48
18	61
55	64
38	56
64	72
50	55
14	49
18	76
1	12
21	65
4	15
26	60
46	59
37	65
2	37
5	40
9	45
30	32
34	63
15	67
42	47
10	52
31	67
18	52
38	51
25	30
14	56
1	5
21	74
22	72
46	66
51	53
19	28
2	60
22	59
5	17
62	66
27	44
30	43
34	54
17	22
23	24
10	63
49	72
31	72
18	47
40	64
43	61
64	70
11	20
21	83
22	67
43	74
68	82
51	58
15	32
2	55
22	50
62	69
27	37
34	49
15	81
0	65
55	62
10	38
49	65
50	81
31	49
35	50
18	38
40	71
17	29
43	50
8	16
11	13
43	67
46	76
47	70
15	41
19	42
2	14
62	76
9	64
34	72
25	64
29	48
10	33
50	72
31	62
35	59
18	33
75	80
40	78
3	66
28	74
23	62
39	63
23	46
15	54
2	9
24	38
5	12
27	51
47	60
34	67
35	83
3	58
59	73
23	39
6	37
50	67
31	39
18	24
74	77
40	53
8	30
7	62
65	83
28	65
27	70
14	20
53	71
44	65
7	79
12	26
56	68
19	56
10	64
9	71
52	70
20	25
3	35
23	60
6	28
28	41
32	44
31	44
35	41
18	19
40	60
4	66
7	55
14	31
53	64
8	44
44	56
7	68
48	59
12	17
56	75
19	65
2	27
24	52
11	73
52	63
35	65
20	32
3	40
59	71
23	53
28	32
23	68
23	41
35	46
38	73
4	73
13	56
8	12
7	44
11	41
16	60
53	73
36	55
44	55
9	19
48	50
69	73
17	83
56	82
2	18
24	59
35	70
23	50
28	63
38	64
39	82
8	51
7	37
11	46
16	51
72	80
53	82
54	64
44	46
9	20
16	66
20	71
27	31
66	78
35	79
0	59
20	54
11	76
23	75
28	54
32	49
14	65
15	72
4	63
8	58
7	34
63	65
48	81
29	81
16	42
41	54
9	29
12	62
15	19
41	71
66	73
13	25
0	50
20	61
23	64
8	82
14	72
21	26
4	38
8	33
7	27
48	72
29	42
33	47
16	33
73	80
36	44
2	76
41	63
26	70
12	53
15	24
42	70
5	82
45	59
49	56
23	82
3	4
25	55
45	76
38	42
32	79
53	60
1	46
21	35
4	45
7	16
48	79
29	35
16	24
36	43
2	71
17	66
26	65
9	15
12	44
17	63
37	52
76	81
42	65
45	52
9	72
3	13
25	56
8	64
45	69
32	70
33	72
1	39
57	66
21	44
4	20
8	47
7	9
48	70
29	60
72	76
36	82
1	80
5	51
26	72
9	48
12	43
51	64
17	48
37	61
24	30
5	68
6	82
10	17
66	82
36	49
0	7
8	71
33	65
1	56
21	53
4	19
26	32
11	67
12	83
22	28
5	60
61	79
26	83
27	67
9	17
51	73
17	41
37	38
77	79
42	51
13	76
10	24
67	73
13	61
0	30
55	77
9	52
14	36
1	49
57	76
58	66
